feature,importance
V14,0.24223857
V4,0.18231677
V10,0.06061272
V8,0.03852913
v12_x_amount,0.03776415
v14_x_amount,0.03706075
amount_bin,0.036484607
V12,0.03382417
is_night,0.028867835
V1,0.028825141
V17,0.026644358
V20,0.021115093
V18,0.019782469
v10_x_amount,0.017403062
V3,0.015479543
V7,0.013484069
hour,0.013069853
V9,0.012745921
V26,0.0118858805
V2,0.010412945
V22,0.010364348
V25,0.010026956
V5,0.009912061
V13,0.009661675
V19,0.009330714
V11,0.009218003
V24,0.008393135
V21,0.008075757
V6,0.006915347
V16,0.0051006316
V23,0.0049123284
V15,0.004590263
V27,0.004340348
v17_x_amount,0.0041796234
log_amount,0.004105411
V28,0.002326335
